Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
240,85.84735576923077,0.25,Echo 0,1,All
270,86.69871794871794,0.25,Echo 0,1,All
300,86.90905448717949,0.25,Echo 0,1,All
330,87.44991987179488,0.25,Echo 0,1,All
360,87.7704326923077,0.25,Echo 0,1,All
390,87.76041666666667,0.25,Echo 0,1,All
420,87.8104967948718,0.25,Echo 0,1,All
450,87.90064102564102,0.25,Echo 0,1,All
480,86.57852564102564,0.25,Echo 0,1,All
510,88.2011217948718,0.25,Echo 0,1,All
540,88.3213141025641,0.25,Echo 0,1,All
570,85.41666666666667,0.25,Echo 0,1,All
600,87.66025641025641,0.25,Echo 0,1,All
630,89.34294871794872,0.25,Echo 0,1,All
660,85.29647435897436,0.25,Echo 0,1,All
690,87.70032051282051,0.25,Echo 0,1,All
720,87.40985576923077,0.25,Echo 0,1,All
750,88.28125,0.25,Echo 0,1,All
780,90.87540064102564,0.25,Echo 0,1,All
810,89.26282051282051,0.25,Echo 0,1,All
840,87.5,0.25,Echo 0,1,All
870,89.81370192307692,0.25,Echo 0,1,All
900,89.7636217948718,0.25,Echo 0,1,All
930,88.14102564102564,0.25,Echo 0,1,All
960,90.48477564102564,0.25,Echo 0,1,All
990,88.85216346153847,0.25,Echo 0,1,All
1020,86.54847756410257,0.25,Echo 0,1,All
1050,90.09415064102564,0.25,Echo 0,1,All
1080,88.21113782051282,0.25,Echo 0,1,All
1110,87.96073717948718,0.25,Echo 0,1,All
1140,88.46153846153847,0.25,Echo 0,1,All
1170,90.91546474358974,0.25,Echo 0,1,All
1200,86.55849358974359,0.25,Echo 0,1,All
1230,91.31610576923077,0.25,Echo 0,1,All
1260,88.5516826923077,0.25,Echo 0,1,All
1290,90.92548076923077,0.25,Echo 0,1,All
1320,91.17588141025641,0.25,Echo 0,1,All
1350,90.69511217948718,0.25,Echo 0,1,All
1380,91.796875,0.25,Echo 0,1,All
1410,90.10416666666667,0.25,Echo 0,1,All
1440,90.9755608974359,0.25,Echo 0,1,All
1470,91.19591346153847,0.25,Echo 0,1,All
0,38.46153846153846,0.25,Echo 0,1,Clique A
30,39.59334935897436,0.25,Echo 0,1,Clique A
60,44.16065705128205,0.25,Echo 0,1,Clique A
90,51.01161858974359,0.25,Echo 0,1,Clique A
120,55.31850961538461,0.25,Echo 0,1,Clique A
150,58.693910256410255,0.25,Echo 0,1,Clique A
180,61.29807692307692,0.25,Echo 0,1,Clique A
210,63.83213141025641,0.25,Echo 0,1,Clique A
240,65.46474358974359,0.25,Echo 0,1,Clique A
270,67.09735576923077,0.25,Echo 0,1,Clique A
300,67.05729166666667,0.25,Echo 0,1,Clique A
330,68.2391826923077,0.25,Echo 0,1,Clique A
360,69.44110576923077,0.25,Echo 0,1,Clique A
390,69.38100961538461,0.25,Echo 0,1,Clique A
420,71.63461538461539,0.25,Echo 0,1,Clique A
450,71.73477564102564,0.25,Echo 0,1,Clique A
480,66.06570512820512,0.25,Echo 0,1,Clique A
510,66.68669871794872,0.25,Echo 0,1,Clique A
540,67.55809294871794,0.25,Echo 0,1,Clique A
570,67.46794871794872,0.25,Echo 0,1,Clique A
600,63.72195512820513,0.25,Echo 0,1,Clique A
630,67.31770833333333,0.25,Echo 0,1,Clique A
660,63.201121794871796,0.25,Echo 0,1,Clique A
690,68.32932692307692,0.25,Echo 0,1,Clique A
720,65.18429487179488,0.25,Echo 0,1,Clique A
750,72.24559294871794,0.25,Echo 0,1,Clique A
780,73.5176282051282,0.25,Echo 0,1,Clique A
810,71.80488782051282,0.25,Echo 0,1,Clique A
840,68.8301282051282,0.25,Echo 0,1,Clique A
870,71.35416666666667,0.25,Echo 0,1,Clique A
900,75.95152243589743,0.25,Echo 0,1,Clique A
930,73.56770833333333,0.25,Echo 0,1,Clique A
960,72.2255608974359,0.25,Echo 0,1,Clique A
990,73.81810897435898,0.25,Echo 0,1,Clique A
1020,69.73157051282051,0.25,Echo 0,1,Clique A
1050,77.52403846153847,0.25,Echo 0,1,Clique A
1080,79.96794871794872,0.25,Echo 0,1,Clique A
1110,77.10336538461539,0.25,Echo 0,1,Clique A
1140,72.32572115384616,0.25,Echo 0,1,Clique A
1170,68.20913461538461,0.25,Echo 0,1,Clique A
1200,67.51802884615384,0.25,Echo 0,1,Clique A
1230,80.47876602564102,0.25,Echo 0,1,Clique A
1260,79.3770032051282,0.25,Echo 0,1,Clique A
1290,69.6113782051282,0.25,Echo 0,1,Clique A
1320,77.60416666666667,0.25,Echo 0,1,Clique A
1350,72.80649038461539,0.25,Echo 0,1,Clique A
1380,71.41426282051282,0.25,Echo 0,1,Clique A
1410,75.4306891025641,0.25,Echo 0,1,Clique A
1440,73.53766025641026,0.25,Echo 0,1,Clique A
1470,77.88461538461539,0.25,Echo 0,1,Clique A
0,33.21314102564103,0.25,Echo 0,1,Clique B
30,37.219551282051285,0.25,Echo 0,1,Clique B
60,42.5380608974359,0.25,Echo 0,1,Clique B
90,50.500801282051285,0.25,Echo 0,1,Clique B
120,53.405448717948715,0.25,Echo 0,1,Clique B
150,55.1181891025641,0.25,Echo 0,1,Clique B
180,56.61057692307692,0.25,Echo 0,1,Clique B
210,58.34334935897436,0.25,Echo 0,1,Clique B
240,59.79567307692308,0.25,Echo 0,1,Clique B
270,61.51842948717949,0.25,Echo 0,1,Clique B
300,63.952323717948715,0.25,Echo 0,1,Clique B
330,64.64342948717949,0.25,Echo 0,1,Clique B
360,64.36298076923077,0.25,Echo 0,1,Clique B
